date,feature_index,temperature-mean
2021-02-19T00:00:00.000Z,0,26479.49494949495
2021-02-21T00:00:00.000Z,0,27426.717171717173
2021-02-20T00:00:00.000Z,0,26795.255892255893
2021-02-18T00:00:00.000Z,0,26881.569023569024
2021-04-07T00:00:00.000Z,0,28242.65993265993
2021-04-10T00:00:00.000Z,0,28097.25925925926
2021-04-08T00:00:00.000Z,0,27887.670033670034
2021-04-09T00:00:00.000Z,0,27905.872053872055
2021-03-18T00:00:00.000Z,0,27848.18181818182
2021-03-21T00:00:00.000Z,0,27540.75420875421
2021-03-20T00:00:00.000Z,0,27622.949494949495
2021-03-19T00:00:00.000Z,0,27725.88552188552
2021-05-06T00:00:00.000Z,0,28733.131313131315
2021-05-07T00:00:00.000Z,0,28884.400673400673
2021-05-05T00:00:00.000Z,0,28627.57239057239
2021-05-08T00:00:00.000Z,0,28740.353535353537
2021-03-08T00:00:00.000Z,0,27627.151515151516
2021-03-09T00:00:00.000Z,0,27273.575757575756
2021-03-06T00:00:00.000Z,0,27414.387205387204
2021-03-07T00:00:00.000Z,0,27327.299663299662
2021-04-24T00:00:00.000Z,0,28234.40404040404
2021-04-26T00:00:00.000Z,0,28212.138047138047
2021-04-23T00:00:00.000Z,0,28480.868686868685
2021-04-25T00:00:00.000Z,0,28266.319865319867
2021-03-04T00:00:00.000Z,0,27748.858585858587
2021-03-05T00:00:00.000Z,0,27944.882154882154
2021-03-03T00:00:00.000Z,0,27658.060606060608
2021-03-02T00:00:00.000Z,0,27589.14478114478
2021-06-18T00:00:00.000Z,0,29350.925925925927
2021-06-21T00:00:00.000Z,0,29729.323232323233
2021-06-19T00:00:00.000Z,0,29593.08080808081
2021-06-20T00:00:00.000Z,0,29565.468013468013
2021-04-19T00:00:00.000Z,0,28457.882154882154
2021-04-21T00:00:00.000Z,0,28388.993265993267
2021-04-22T00:00:00.000Z,0,28429.902356902356
2021-04-20T00:00:00.000Z,0,28315.171717171717
2021-06-22T00:00:00.000Z,0,29735.683501683503
2021-06-23T00:00:00.000Z,0,29748.377104377105
2021-06-25T00:00:00.000Z,0,29891.973063973062
2021-06-24T00:00:00.000Z,0,29841.262626262625
2021-03-12T00:00:00.000Z,0,27082.784511784514
2021-03-13T00:00:00.000Z,0,27749.838383838385
2021-03-11T00:00:00.000Z,0,27143.690235690236
2021-03-10T00:00:00.000Z,0,27145.333333333332
2021-04-28T00:00:00.000Z,0,28162.333333333332
